full_text,created_at,id
@cellbit @Quackity mano tu jogando com meus streamers d conforto mdssss,2023-04-29 01:16:07+00:00,1652119539587350533
@cellbit @Quackity Cellbit grita alguma hora só pra bater nostalgia smdd,2023-04-29 01:16:04+00:00,1652119526278852608
@cellbit @Quackity CELLBIT TE AMO OBRIGADO POR ACEITAR,2023-04-29 01:15:17+00:00,1652119327548555266
@cellbit @Quackity oi Cellbito,2023-04-29 01:14:27+00:00,1652119116931641345
@cellbit @Quackity tqm cellbit,2023-04-29 01:12:37+00:00,1652118656539566081
@cellbit @Quackity oi,2023-04-29 01:12:27+00:00,1652118614902702081
@cellbit @Quackity https://t.co/Jf9aA1pfGX,2023-04-29 01:12:26+00:00,1652118609785757700
@cellbit @Quackity oi,2023-04-29 01:10:16+00:00,1652118067223330816
@cellbit @Quackity Welcome,2023-04-29 01:09:50+00:00,1652117956397084672
"@cellbit @Quackity Pac e Mike vão pagar pelo ""faz teu jogo""",2023-04-29 01:09:40+00:00,1652117913820708866
"@cellbit @Quackity OI, mds isso vai ser pura nostalgia",2023-04-29 01:09:31+00:00,1652117876441063425
@cellbit @Quackity Queremos a saga da casinha de volta,2023-04-29 01:08:38+00:00,1652117654004461570
@cellbit @Quackity OIIII,2023-04-29 01:06:58+00:00,1652117234108571648
@cellbit @Quackity melhor dia da minha vida,2023-04-29 01:04:50+00:00,1652116698944753665
@cellbit @Quackity arrombado safado ridiculo te amo,2023-04-29 01:02:59+00:00,1652116233217531904
@cellbit @Quackity VC É UM SAFADO,2023-04-29 01:02:52+00:00,1652116201856815104
@cellbit @ElSorvete @Quackity OIIII,2023-04-29 01:02:06+00:00,1652116010810458113
"@cellbit @Quackity Rafael Lanches vc por aqui, tô feliz pra caralho",2023-04-29 01:01:50+00:00,1652115945547001857
@cellbit @Quackity LET'S GOOOOOO,2023-04-29 01:00:52+00:00,1652115698783485960
@cellbit @Quackity TIBLLEC IO,2023-04-29 01:00:36+00:00,1652115634484916224
@cellbit @Quackity welcome to the qsmp!!!,2023-04-29 00:59:50+00:00,1652115442046062593
"@cellbit @Quackity OI RAFAEL LANCHES, OI",2023-04-29 00:58:52+00:00,1652115198591881216
@cellbit @Quackity Eu sabia alguma coisa ia ancotecer,2023-04-29 00:58:09+00:00,1652115016781266949
@cellbit @Quackity cellbit corre😭😭😭😭,2023-04-29 00:56:51+00:00,1652114691009789955
@cellbit @Quackity CABELUDO SAFADO QUE ORGULHO,2023-04-29 00:56:27+00:00,1652114587817328640
@cellbit @Quackity *gritos internos,2023-04-29 00:55:47+00:00,1652114422066814978
@cellbit @Quackity oi,2023-04-29 00:55:09+00:00,1652114260426739712
@cellbit @Quackity parabéns cellbit vc merece🫶🏻💗!!!!,2023-04-29 00:55:03+00:00,1652114235227361281
@cellbit @Quackity OI,2023-04-29 00:54:27+00:00,1652114085192900608
@cellbit @Quackity por essa eu não esperava seu desgraçado,2023-04-29 00:53:41+00:00,1652113891264962566
@cellbit @Quackity WELCOME!!!!!,2023-04-29 00:53:39+00:00,1652113884583534597
@cellbit @Quackity LESGOOOOOOOO,2023-04-29 00:53:19+00:00,1652113802207326210
@cellbit @Quackity NAO E POSSIVEL,2023-04-29 00:52:50+00:00,1652113677749723137
"@cellbit @Quackity Welcome cellbit, I hope to meet u soon",2023-04-29 00:51:42+00:00,1652113395670212608
@cellbit @Quackity AAAAAAAAAAAAAKSFHWIFHISHWF,2023-04-29 00:51:19+00:00,1652113297099968512
@cellbit @Quackity PUTA MERDA,2023-04-29 00:51:10+00:00,1652113257895800834
@cellbit @Quackity Oi.,2023-04-29 00:50:55+00:00,1652113194989547520
@cellbit @Quackity Io,2023-04-29 00:50:44+00:00,1652113152396476417
